system   D            wsystem.c:583  maybe_parent_dir                 [   0.00263] Also searching C:\Anders\git\Respository\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00509] PathFindOnPath found: C:\windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00523] Calling LoadLibrary C:\windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.08098] Loaded C:\windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:893  _al_d3d_init_display             [   0.35109] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.35129] Allegro version: 5.0.7
d3d      I         d3d_disp.cpp:1921 d3d_create_display_locked        [ 131.16790] faux_fullscreen=0
display  D   display_settings.c:191  debug_display_settings           [ 131.17737] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.17757] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.17766] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.17775] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [ 131.17784] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.17794] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.17803] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.17813] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [ 131.17822] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.17833] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.17842] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.17852] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [ 131.17861] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.17879] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.17917] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.17930] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.17940] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.17950] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.17958] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.17967] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.17975] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.17986] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.17994] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18004] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18012] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18021] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18029] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18057] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18066] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18075] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18083] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18100] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18111] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18120] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18136] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18154] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18164] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18180] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.18188] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18198] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.18205] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18214] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.18222] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18232] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.18240] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18255] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.18263] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18273] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [ 131.18281] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18291] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [ 131.18299] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18309] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [ 131.18317] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18326] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [ 131.18335] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18345] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [ 131.18353] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18362] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [ 131.18370] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18379] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [ 131.18388] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18398] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [ 131.18405] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18415] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [ 131.18423] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18433] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [ 131.18442] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18454] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18463] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18472] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18480] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18489] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18498] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18507] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18515] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18526] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18537] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18547] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18556] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18566] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18574] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18583] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18591] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18601] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18609] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18618] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18627] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18637] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18645] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18684] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18694] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18704] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18712] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18722] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18729] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.18736] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.18742] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18749] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [ 131.18754] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18761] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [ 131.18766] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18773] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [ 131.18778] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18785] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [ 131.18790] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18797] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [ 131.18802] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18827] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [ 131.18833] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18840] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [ 131.18846] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18853] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.18858] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18865] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [ 131.18870] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18877] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.18882] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18889] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [ 131.18894] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18901] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.18909] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18916] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [ 131.18921] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18928] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.18933] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18942] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [ 131.18947] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18954] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.18959] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18966] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [ 131.18971] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18978] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.18983] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.18990] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [ 131.18995] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19002] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.19007] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19014] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [ 131.19020] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19027] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19033] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19040] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19046] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19054] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19060] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19067] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19072] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19079] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19084] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19091] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19097] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19103] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19109] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19116] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19121] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19128] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19133] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19140] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19146] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19153] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19158] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19165] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19170] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19177] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19183] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19189] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19195] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19201] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19207] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19214] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19220] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19227] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19233] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19240] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19245] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19253] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19259] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19266] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19271] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19278] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19284] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19290] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.19296] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19302] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.19308] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19314] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.19320] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19326] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.19332] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19340] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.19345] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19352] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.19358] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19364] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.19370] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19376] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [ 131.19382] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19388] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [ 131.19394] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19400] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [ 131.19406] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19413] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [ 131.19419] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19426] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [ 131.19431] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19438] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [ 131.19444] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19452] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [ 131.19458] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19464] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [ 131.19470] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19476] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [ 131.19482] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19489] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [ 131.19494] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19501] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [ 131.19506] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19513] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [ 131.19518] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19525] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [ 131.19530] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.19540] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [ 131.19545] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19552] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19557] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19564] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19569] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19576] Single Buffer requirement not met.
